state_x,state_y,carrying,wall_up,wall_down,wall_left,wall_right,action,q_value
9,15,1,0,0,0,0,1,384.953438
8,15,1,0,0,0,0,3,405.21348
8,14,1,0,0,0,0,3,397.237185
8,13,0,0,0,0,0,1,379.536719
7,13,0,0,0,0,0,1,375.603693
6,13,0,0,0,0,1,1,350.028503
5,13,0,0,0,1,1,0,370.071888
5,13,0,0,0,1,1,1,331.884709
4,13,0,0,0,0,0,1,314.357183
2,14,0,0,1,0,0,1,295.221287
1,14,0,0,0,1,0,1,281.205855
0,14,0,1,0,0,0,2,291.540557
0,15,1,1,0,0,0,0,292.601588
2,15,1,0,0,0,0,0,306.879099
3,15,1,0,0,1,1,0,324.070627
4,15,1,0,0,0,1,0,342.176329
5,15,1,0,0,1,0,0,361.234566
6,15,1,0,0,1,1,0,381.299371
7,15,1,0,0,0,0,0,385.212529
9,15,1,0,0,0,0,0,426.533457
10,15,1,0,0,0,0,3,449.146616
10,14,1,0,0,0,0,0,442.126108
12,14,1,0,1,0,0,2,434.739864
13,15,1,0,0,1,1,0,389.243492
14,15,1,0,0,0,1,0,361.077779
15,15,1,0,0,1,0,0,349.895604
16,15,1,0,0,1,1,0,331.442163
17,15,1,0,0,0,0,2,197.610059
6,1,0,0,1,0,0,2,339.618022
6,2,0,1,0,0,0,2,324.507471
6,3,0,0,0,0,1,0,342.471834
7,3,0,0,0,0,0,1,329.189619
7,3,0,0,0,0,0,0,350.955862
9,3,0,0,0,0,0,0,375.377991
11,4,1,0,0,1,0,0,364.60298
12,4,1,0,1,0,0,3,384.76489
12,3,1,1,0,0,0,0,378.324822
12,4,1,0,1,0,0,2,355.194477
12,3,1,1,0,0,0,3,409.087203
8,3,0,0,0,0,0,2,353.688102
8,4,0,0,0,0,0,0,357.085548
9,4,0,0,0,0,0,2,357.436743
9,5,0,0,0,0,0,0,360.418264
10,5,0,0,0,0,0,2,370.324787
10,6,0,0,1,0,0,2,392.246414
10,8,1,0,0,0,0,0,404.809118
11,8,1,0,0,0,0,3,423.618625
11,7,0,0,0,1,0,0,375.179991
12,7,0,0,0,0,0,2,410.009148
12,8,0,0,1,0,0,2,447.410258
12,9,0,0,0,0,0,2,445.915512
12,10,1,0,0,0,0,1,450.418689
11,10,1,0,0,0,1,0,480.002277
12,10,1,0,0,0,0,2,506.687995
12,11,1,1,0,0,0,2,529.529897
12,12,1,0,1,0,0,1,552.950801
10,12,1,0,0,0,0,1,495.177975
9,12,1,0,0,0,0,1,458.272239
8,12,1,0,0,0,0,2,450.661937
8,13,0,0,0,0,0,0,426.752214
9,13,0,0,0,0,0,0,452.053592
10,13,0,0,1,0,0,1,429.739351
10,13,0,0,1,0,0,2,418.614406
10,14,0,0,0,0,0,2,416.717209
14,15,1,0,0,0,1,1,410.491275
11,17,0,0,0,1,0,2,371.920536
11,18,0,0,0,0,0,1,399.230206
8,17,1,0,0,0,0,1,381.184916
10,16,0,0,1,0,0,2,389.914163
10,17,0,0,0,0,0,0,372.713368
11,17,0,0,0,1,0,0,379.798092
12,17,0,0,0,0,0,3,400.910438
12,16,0,1,1,0,0,3,408.143718
17,16,0,1,0,0,0,3,314.134593
17,15,0,0,0,0,0,1,331.769164
16,15,0,0,0,1,1,1,350.341121
15,15,0,0,0,1,0,1,380.818963
14,15,0,0,0,0,1,1,390.511893
13,15,0,0,0,1,1,1,395.219628
12,15,0,0,0,0,0,1,402.816628
11,15,0,0,0,0,1,1,420.783621
10,15,0,0,0,0,0,1,419.663868
9,15,0,0,0,0,0,1,394.311168
8,15,0,0,0,0,0,1,366.267338
7,15,0,0,0,0,0,1,349.024471
6,15,0,0,0,1,1,1,326.645963
5,15,0,0,0,1,0,0,344.890489
5,15,0,0,0,1,0,1,308.9603
4,15,0,0,0,0,1,0,326.29379
4,15,0,0,0,0,1,1,310.698612
3,15,0,0,0,1,1,1,328.519446
4,15,1,0,0,0,1,1,306.869428
5,15,1,0,0,1,0,1,324.077656
3,15,1,0,0,1,1,1,308.939652
4,15,1,0,0,0,1,3,327.820338
4,14,1,1,1,0,0,3,344.756164
4,13,1,0,0,0,0,1,356.499536
2,13,0,1,0,0,0,3,293.900854
2,12,0,0,1,0,0,1,289.558022
1,12,0,0,0,1,1,0,293.864877
2,12,0,0,1,0,0,3,309.256692
2,11,0,1,0,0,0,0,299.334146
3,11,0,0,0,0,1,0,313.421548
4,10,1,0,0,0,0,1,329.87686
2,10,0,0,0,0,0,1,300.860563
1,10,0,0,0,0,1,1,274.804185
0,10,0,1,0,0,0,3,284.34862
0,9,0,1,0,0,0,3,298.291349
1,8,1,0,0,0,0,3,311.644487
1,7,0,0,0,1,0,0,282.818777
2,7,0,0,0,0,0,3,288.057162
2,6,0,1,1,0,0,3,303.154137
4,5,1,0,0,0,1,1,282.457401
